k,explained_variance_ratio,cumulative_explained_variance
795,1.0953043e-05,0.99861485
796,1.0813376e-05,0.99862564
797,1.075747e-05,0.99863636
798,1.0707654e-05,0.9986471
799,1.0664817e-05,0.99865776
800,1.0554172e-05,0.9986683
801,1.047258e-05,0.9986788
802,1.0414347e-05,0.99868923
803,1.0397489e-05,0.9986996
804,1.0342694e-05,0.99871
805,1.026589e-05,0.9987202
806,1.0238142e-05,0.9987305
807,1.0194133e-05,0.9987407
808,1.0146734e-05,0.9987508
809,1.010332e-05,0.99876094
810,1.0060023e-05,0.998771
811,9.9993895e-06,0.998781
812,9.926839e-06,0.998791
813,9.840275e-06,0.9988008
814,9.807346e-06,0.99881065
815,9.778854e-06,0.9988204
816,9.672156e-06,0.9988301
817,9.625741e-06,0.9988397
818,9.585226e-06,0.9988493
819,9.531506e-06,0.9988588
820,9.503435e-06,0.9988683
821,9.453816e-06,0.99887776
822,9.3728695e-06,0.9988871
823,9.3178205e-06,0.9988964
824,9.250417e-06,0.99890566
825,9.235746e-06,0.9989149
826,9.207555e-06,0.9989241
827,9.115435e-06,0.9989332
828,9.070983e-06,0.99894226
829,9.024403e-06,0.99895126
830,8.974673e-06,0.99896026
831,8.951363e-06,0.9989692
832,8.915259e-06,0.99897814
833,8.901858e-06,0.998987
834,8.805657e-06,0.99899584
835,8.783258e-06,0.9990046
836,8.735855e-06,0.99901336
837,8.714172e-06,0.99902207
838,8.676147e-06,0.99903077
839,8.625386e-06,0.9990394
840,8.582158e-06,0.999048
841,8.507137e-06,0.9990565
842,8.441166e-06,0.999065
843,8.399677e-06,0.9990734
844,8.38351e-06,0.9990818
845,8.303664e-06,0.9990901
846,8.270464e-06,0.99909836
847,8.244826e-06,0.9991066
848,8.206361e-06,0.9991148
849,8.145861e-06,0.999123
850,8.107324e-06,0.9991311
851,8.072122e-06,0.99913913
852,8.043404e-06,0.9991472
853,8.034537e-06,0.9991552
854,7.951723e-06,0.99916315
855,7.88572e-06,0.999171
856,7.864781e-06,0.9991789
857,7.8156045e-06,0.9991867
858,7.784346e-06,0.9991945
859,7.761863e-06,0.99920225
860,7.717509e-06,0.99920994
861,7.687472e-06,0.9992176
862,7.654608e-06,0.99922526
863,7.5320745e-06,0.99923277
864,7.5051526e-06,0.9992403
865,7.494815e-06,0.9992478
866,7.4236277e-06,0.99925524
867,7.421321e-06,0.9992627
868,7.390596e-06,0.9992701
869,7.3536808e-06,0.9992774
870,7.2969206e-06,0.9992847
871,7.2455337e-06,0.99929196
872,7.2377425e-06,0.99929917
873,7.225746e-06,0.9993064
874,7.1754957e-06,0.99931353
875,7.127668e-06,0.9993207
876,7.073967e-06,0.9993278
877,7.042524e-06,0.9993348
878,7.0236024e-06,0.99934185
879,6.979598e-06,0.9993488
880,6.9706944e-06,0.9993558
881,6.924649e-06,0.9993627
882,6.8847976e-06,0.9993696
883,6.8782247e-06,0.9993765
884,6.78362e-06,0.9993833
